,stock_code,free_shares_SBL,day_start,difference,free_shares_SBL_SMA
00756B,00756B,14733.0,14733.0,1.0,14733.0
00779B,00779B,10130.0,10130.0,1.0,10130.0
00754B,00754B,12454.0,12454.0,1.0,12454.0
00753L,00753L,1622837.0,1622837.0,1.0,1622837.0
00752,00752,279034.0,279034.0,1.0,279034.0
00751B,00751B,125676.0,125676.0,1.0,125676.0
00750B,00750B,10103.0,10103.0,1.0,10103.0
00749B,00749B,10801.0,10801.0,1.0,10801.0
00748B,00748B,10260.0,10260.0,1.0,10260.0
00746B,00746B,14162.0,14162.0,1.0,14162.0
00744B,00744B,11975.0,11975.0,1.0,11975.0
00741B,00741B,11682.0,11682.0,1.0,11682.0
00740B,00740B,14359.0,14359.0,1.0,14359.0
00739,00739,5493.0,5493.0,1.0,5493.0
00738U,00738U,77817.0,77817.0,1.0,77817.0
00737,00737,17978.0,17978.0,1.0,17978.0
00736,00736,13690.0,13690.0,1.0,13690.0
00735,00735,11624.0,11624.0,1.0,11624.0
00734B,00734B,103787.0,103787.0,1.0,103787.0
00733,00733,38346.0,38346.0,1.0,38346.0
00732,00732,11203.0,11203.0,1.0,11203.0
00757,00757,71201.0,71201.0,1.0,71201.0
00758B,00758B,10943.0,10943.0,1.0,10943.0
00755B,00755B,19716.0,19716.0,1.0,19716.0
00760B,00760B,10711.0,10711.0,1.0,10711.0
00777B,00777B,11070.0,11070.0,1.0,11070.0
00775B,00775B,5650.0,5650.0,1.0,5650.0
00774B,00774B,331.0,331.0,1.0,331.0
00773B,00773B,146700.0,146700.0,1.0,146700.0
00772B,00772B,306272.0,331272.0,1.0,306272.0
00771,00771,13447.0,13447.0,1.0,13447.0
00770,00770,12599.0,12599.0,1.0,12599.0
00768B,00768B,10524.0,10524.0,1.0,10524.0
00759B,00759B,11006.0,11006.0,1.0,11006.0
00765B,00765B,10877.0,10877.0,1.0,10877.0
1722,1722,34462.0,34462.0,1.0,34462.0
00761B,00761B,17707.0,17707.0,1.0,17707.0
00762,00762,19431.0,19431.0,1.0,19431.0
00764B,00764B,14369.0,14369.0,1.0,14369.0
00763U,00763U,10934.0,10934.0,1.0,10934.0
1708,1708,424112.0,424112.0,1.0015743866189732,423445.3333333333
1608,1608,186204.0,186204.0,1.0035931672331893,185537.33333333334
1477,1477,172863.0,174863.0,1.0038715497232809,172196.33333333334
1504,1504,293586.0,293586.0,1.0068590398715989,291586.0
1612,1612,92711.0,93711.0,1.0072428865800176,92044.33333333333
1305,1305,80230.0,98230.0,1.0083790690854246,79563.33333333333
1519,1519,108847.0,109847.0,1.0092723951523919,107847.0
1609,1609,143113.0,151113.0,1.0094042634228229,141779.66666666666
1101,1101,272164.0,272164.0,1.0123993790390977,268830.6666666667
1217,1217,53701.0,53701.0,1.0125704732154641,53034.333333333336
1308,1308,105203.0,105203.0,1.012836599713102,103869.66666666667
1611,1611,51655.0,51655.0,1.0130748864119243,50988.333333333336
00632R,00632R,14786984.0,14287984.0,1.0230150382750693,14454317.333333334
1313,1313,47626.0,50626.0,1.0288022580970348,46292.666666666664
1310,1310,16129.0,19129.0,1.0431155280574298,15462.333333333334
1215,1215,13383.0,13383.0,1.0524260137880417,12716.333333333334
1104,1104,7816.0,7816.0,1.093248787765759,7149.333333333333
1201,1201,3885.0,3885.0,1.2071465561885033,3218.3333333333335
